,,,,
,名称,型番,価格,購入先
,USB PD受電プロトコルIC,CH224K,¥100,https://akizukidenshi.com/catalog/g/gI-18023/
,チップ抵抗 6432 2W 1kΩ,RPS2512F1K,¥70 (10個入),https://akizukidenshi.com/catalog/g/gR-09461/
,チップ抵抗 2012 1/8W 10kΩ,RG2012-N-103-B-T5,¥100 ( 5個入),https://akizukidenshi.com/catalog/g/gR-11797/
,チップ抵抗 2012 1/8W 1kΩ,RG2012-N-102-B-T5,¥100 (5個入),https://akizukidenshi.com/catalog/g/gR-11796/
,チップコンデンサ 2012 1uF50V,C2012X7R1H105KT000N,¥100 (10個入),https://akizukidenshi.com/catalog/g/gP-15331/
,青色チップLED 1608,SMLE13BC8TT86,¥150 (10個入),https://akizukidenshi.com/catalog/g/gI-11881/
,基板用スライドスイッチ,SS-12D00-G5,¥20 x 3個,https://akizukidenshi.com/catalog/g/gP-08790/
,USB Type-Cコネクタ基板用,5077CR-16-SMC2-BK-TR,¥110,https://akizukidenshi.com/catalog/g/gC-14356/
,ターミナルブロック 2P 青 縦 小,TB111-2-2-U-1-1,¥35,https://akizukidenshi.com/catalog/g/gP-01306/
,ピンヘッダ 2.54mmピッチ 1x40,PH-1x40SG,¥35,https://akizukidenshi.com/catalog/g/gC-00167/